pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,order_day,order_Month
1,1,hawaiian_m,1,01-01-2015 00:00,0.485138889,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,January
2,2,classic_dlx_m,1,01-01-2015 00:00,0.49837963,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
3,2,five_cheese_l,1,01-01-2015 00:00,0.49837963,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
4,2,ital_supr_l,1,01-01-2015 00:00,0.49837963,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
5,2,mexicana_m,1,01-01-2015 00:00,0.49837963,16,16,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
6,2,thai_ckn_l,1,01-01-2015 00:00,0.49837963,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
7,3,ital_supr_m,1,01-01-2015 00:00,0.508657407,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
8,3,prsc_argla_l,1,01-01-2015 00:00,0.508657407,20.75,20.75,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,January
9,4,ital_supr_m,1,01-01-2015 00:00,0.511469907,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
10,5,ital_supr_m,1,01-01-2015 00:00,0.514930556,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
11,6,bbq_ckn_s,1,01-01-2015 00:00,0.520555556,12.75,12.75,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
12,6,the_greek_s,1,01-01-2015 00:00,0.520555556,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,January
13,7,spinach_supr_s,1,01-01-2015 00:00,0.535150463,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,Thursday,January
14,8,spinach_supr_s,1,01-01-2015 00:00,0.535844907,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,Thursday,January
15,9,classic_dlx_s,1,01-01-2015 00:00,0.536122685,12,12,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
16,9,green_garden_s,1,01-01-2015 00:00,0.536122685,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
17,9,ital_cpcllo_l,1,01-01-2015 00:00,0.536122685,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
18,9,ital_supr_l,1,01-01-2015 00:00,0.536122685,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
19,9,ital_supr_s,1,01-01-2015 00:00,0.536122685,12.5,12.5,S,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
20,9,mexicana_s,1,01-01-2015 00:00,0.536122685,12,12,S,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
21,9,spicy_ital_l,1,01-01-2015 00:00,0.536122685,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,Thursday,January
22,9,spin_pesto_l,1,01-01-2015 00:00,0.536122685,20.75,20.75,L,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,Thursday,January
23,9,veggie_veg_s,1,01-01-2015 00:00,0.536122685,12,12,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,January
24,10,mexicana_l,1,01-01-2015 00:00,0.541840278,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
25,10,southw_ckn_l,1,01-01-2015 00:00,0.541840278,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,January
26,11,bbq_ckn_l,1,01-01-2015 00:00,0.543738426,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
27,11,cali_ckn_l,1,01-01-2015 00:00,0.543738426,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,January
28,11,cali_ckn_m,1,01-01-2015 00:00,0.543738426,16.75,16.75,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,January
29,11,pepperoni_l,1,01-01-2015 00:00,0.543738426,15.25,15.25,L,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,January
30,12,cali_ckn_l,1,01-01-2015 00:00,0.544918981,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,January
31,12,cali_ckn_s,1,01-01-2015 00:00,0.544918981,12.75,12.75,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,January
32,12,ckn_pesto_l,1,01-01-2015 00:00,0.544918981,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,January
33,12,ital_supr_m,1,01-01-2015 00:00,0.544918981,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
34,13,mexicana_l,1,01-01-2015 00:00,0.54994213,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
35,14,the_greek_s,1,01-01-2015 00:00,0.551608796,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,January
36,15,big_meat_s,1,01-01-2015 00:00,0.564583333,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,January
37,15,five_cheese_l,1,01-01-2015 00:00,0.564583333,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
38,15,soppressata_l,1,01-01-2015 00:00,0.564583333,20.75,20.75,L,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza,Thursday,January
